Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Bird species, threatened",EN.BIR.THRD.NO,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,367,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,European Union,EUU,..,..,..,..,..,..,..,..,314,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,735,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,823,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,High income,HIC,..,..,..,..,..,..,..,..,1069,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,IBRD only,IBD,..,..,..,..,..,..,..,..,2276,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,3647,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,IDA blend,IDB,..,..,..,..,..,..,..,..,258,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,IDA only,IDX,..,..,..,..,..,..,..,..,1113,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,IDA total,IDA,..,..,..,..,..,..,..,..,1371,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,1303,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,1117,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,953,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,1054,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,982,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Low & middle income,LMY,..,..,..,..,..,..,..,..,3552,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Low income,LIC,..,..,..,..,..,..,..,..,558,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Lower middle income,LMC,..,..,..,..,..,..,..,..,1451,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,290,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,196,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,181,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Middle income,MIC,..,..,..,..,..,..,..,..,2994,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,North America,NAC,..,..,..,..,..,..,..,..,118,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,OECD members,OED,..,..,..,..,..,..,..,..,907,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Other small states,OSS,..,..,..,..,..,..,..,..,293,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Pacific island small states,PSS,..,..,..,..,..,..,..,..,88,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,693,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,761,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Small states,SST,..,..,..,..,..,..,..,..,468,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,South Asia,SAS,..,..,..,..,..,..,..,..,253,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,253,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,993,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,980,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,993,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Upper middle income,UMC,..,..,..,..,..,..,..,..,1543,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,World,WLD,..,..,..,..,..,..,..,4584,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 05/25/2022,,,,,,,,,,,,,,,
