Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Bird species, threatened",EN.BIR.THRD.NO,Czech Republic,CZE,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Denmark,DNK,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Djibouti,DJI,..,..,..,..,..,..,..,..,12,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Dominica,DMA,..,..,..,..,..,..,..,..,7,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Dominican Republic,DOM,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Ecuador,ECU,..,..,..,..,..,..,..,..,106,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,El Salvador,SLV,..,..,..,..,..,..,..,..,7,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Eritrea,ERI,..,..,..,..,..,..,..,..,21,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Estonia,EST,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Eswatini,SWZ,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Ethiopia,ETH,..,..,..,..,..,..,..,..,35,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Faroe Islands,FRO,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Fiji,FJI,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Finland,FIN,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,France,FRA,..,..,..,..,..,..,..,..,16,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,French Polynesia,PYF,..,..,..,..,..,..,..,..,35,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Gabon,GAB,..,..,..,..,..,..,..,..,7,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Gambia, The",GMB,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Georgia,GEO,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Germany,DEU,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Ghana,GHA,..,..,..,..,..,..,..,..,23,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Gibraltar,GIB,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Greece,GRC,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Greenland,GRL,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Grenada,GRD,..,..,..,..,..,..,..,..,2,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Guam,GUM,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Guatemala,GTM,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Guinea,GIN,..,..,..,..,..,..,..,..,20,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,12,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Guyana,GUY,..,..,..,..,..,..,..,..,16,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Haiti,HTI,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Honduras,HND,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,21,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Hungary,HUN,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Iceland,ISL,..,..,..,..,..,..,..,..,7,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,India,IND,..,..,..,..,..,..,..,..,93,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Indonesia,IDN,..,..,..,..,..,..,..,..,160,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,28,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Iraq,IRQ,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Ireland,IRL,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Isle of Man,IMN,..,..,..,..,..,..,..,..,0,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Israel,ISR,..,..,..,..,..,..,..,..,18,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Italy,ITA,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Jamaica,JAM,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Japan,JPN,..,..,..,..,..,..,..,..,49,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Jordan,JOR,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,27,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Kenya,KEN,..,..,..,..,..,..,..,..,44,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Kiribati,KIR,..,..,..,..,..,..,..,..,6,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,29,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,33,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Kuwait,KWT,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,15,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Lao PDR,LAO,..,..,..,..,..,..,..,..,29,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Latvia,LVA,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Lebanon,LBN,..,..,..,..,..,..,..,..,11,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Lesotho,LSO,..,..,..,..,..,..,..,..,8,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Liberia,LBR,..,..,..,..,..,..,..,..,14,..,..,..
